id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
2, 0.2446, 0.2280, 0.2482, 0.2792, 0.2606, 0.2662, 0.3567, 0.4167, 0.4491, 0.4716, 0.4991
3, 0.2113, 0.2234, 0.2181, 0.2263, 0.2510, 0.2705, 0.2887, 0.3678, 0.4300, 0.4772, 0.4998
4, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
5, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
6, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
7, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
8, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0774, 0.0845, 0.0894, 0.0916, 0.0814
9, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
10, 0.3718, 0.4581, 0.4950, 0.5589, 0.5709, 0.5794, 0.5806, 0.5851, 0.5715, 0.5534, 0.5489
11, 0.2375, 0.2475, 0.2317, 0.2628, 0.2888, 0.2980, 0.3791, 0.4503, 0.4902, 0.5149, 0.5402
12, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
13, 0.3146, 0.2743, 0.3659, 0.4366, 0.4921, 0.5373, 0.5705, 0.5794, 0.5769, 0.5718, 0.5661
14, 0.2811, 0.2746, 0.3096, 0.3237, 0.3900, 0.4584, 0.5130, 0.5389, 0.5601, 0.5758, 0.5870
15, 0.2459, 0.2907, 0.3085, 0.3160, 0.3936, 0.4509, 0.4982, 0.5333, 0.5698, 0.5963, 0.5935
16, 0.1824, 0.1725, 0.1689, 0.1767, 0.1765, 0.1904, 0.2173, 0.2309, 0.2324, 0.2348, 0.2942
17, 0.2232, 0.2227, 0.2127, 0.2369, 0.2419, 0.2265, 0.2531, 0.3366, 0.3866, 0.4317, 0.4809
18, 0.2220, 0.2160, 0.2122, 0.2364, 0.2525, 0.2564, 0.2753, 0.3338, 0.3977, 0.4470, 0.4787
19, 0.1943, 0.1873, 0.1982, 0.1785, 0.2029, 0.2280, 0.2460, 0.2423, 0.2768, 0.3606, 0.4205
20, 0.2408, 0.2185, 0.2364, 0.2572, 0.2672, 0.2811, 0.3447, 0.4010, 0.4494, 0.4935, 0.5294
21, 0.2165, 0.2272, 0.2144, 0.2299, 0.2523, 0.2639, 0.2985, 0.3621, 0.4170, 0.4661, 0.5018
22, 0.2102, 0.2210, 0.2087, 0.2254, 0.2428, 0.2576, 0.2674, 0.3268, 0.3738, 0.4281, 0.4770
23, 0.1533, 0.1507, 0.1428, 0.1414, 0.1463, 0.1500, 0.1520, 0.1786, 0.1929, 0.2031, 0.2003
24, 0.2315, 0.2281, 0.2319, 0.2485, 0.2671, 0.2447, 0.3345, 0.4026, 0.4558, 0.4869, 0.5058
25, 0.2204, 0.2303, 0.2196, 0.2343, 0.2572, 0.2676, 0.3141, 0.3747, 0.4312, 0.4803, 0.5125
26, 0.2319, 0.2194, 0.2332, 0.2475, 0.2624, 0.2292, 0.3060, 0.3650, 0.4166, 0.4679, 0.5116
27, 0.1752, 0.1672, 0.1585, 0.1656, 0.1693, 0.1693, 0.2031, 0.2161, 0.2241, 0.2288, 0.2312
28, 0.3151, 0.3190, 0.3765, 0.4430, 0.4994, 0.5463, 0.5717, 0.5796, 0.5753, 0.5747, 0.5761
29, 0.2217, 0.2324, 0.2257, 0.2451, 0.2607, 0.2761, 0.3185, 0.3865, 0.4332, 0.4793, 0.5181
30, 0.2021, 0.1956, 0.1980, 0.2031, 0.2237, 0.2442, 0.2608, 0.2719, 0.3311, 0.4024, 0.4544
31, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
32, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
33, 0.2350, 0.2182, 0.2414, 0.2577, 0.2613, 0.2370, 0.3348, 0.3931, 0.4339, 0.4804, 0.5264
34, 0.2185, 0.2255, 0.2258, 0.2307, 0.2506, 0.2682, 0.2940, 0.3508, 0.4117, 0.4659, 0.4968
35, 0.2751, 0.2744, 0.2834, 0.2986, 0.3710, 0.4433, 0.4855, 0.5310, 0.5511, 0.5606, 0.5642
36, 0.1991, 0.1838, 0.1951, 0.1840, 0.1954, 0.2173, 0.2228, 0.2216, 0.2447, 0.3272, 0.4022
37, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
38, 0.2153, 0.2242, 0.2171, 0.2307, 0.2448, 0.2612, 0.2745, 0.3361, 0.3862, 0.4404, 0.4875
39, 0.2733, 0.2882, 0.3182, 0.3362, 0.4122, 0.4853, 0.5266, 0.5500, 0.5688, 0.5824, 0.5900
40, 0.1294, 0.1162, 0.1170, 0.1127, 0.0953, 0.1101, 0.1156, 0.1122, 0.0992, 0.1296, 0.1504
42, 0.1816, 0.1917, 0.1944, 0.1771, 0.2177, 0.2393, 0.2572, 0.2447, 0.3067, 0.4017, 0.4449
43, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
44, 0.1720, 0.1648, 0.1494, 0.1608, 0.1659, 0.1597, 0.1949, 0.2127, 0.2233, 0.2260, 0.2251
45, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0771, 0.0846, 0.0904, 0.0942, 0.0930
46, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
47, 0.1533, 0.1507, 0.1343, 0.1350, 0.1470, 0.1489, 0.1394, 0.1751, 0.1915, 0.1998, 0.2048
48, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
49, 0.2788, 0.2567, 0.3053, 0.3235, 0.3434, 0.4202, 0.4998, 0.5506, 0.5483, 0.5456, 0.5410
50, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
51, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
52, 0.2550, 0.2883, 0.3117, 0.3210, 0.4132, 0.4783, 0.5265, 0.5555, 0.5646, 0.5761, 0.5834
53, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
54, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
55, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
56, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
57, 0.1704, 0.1538, 0.1512, 0.1599, 0.1537, 0.1530, 0.1938, 0.2081, 0.2183, 0.2183, 0.2063
58, 0.3183, 0.3469, 0.3797, 0.4281, 0.4829, 0.5212, 0.5506, 0.5640, 0.5895, 0.5987, 0.5924
59, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
60, 0.2754, 0.2881, 0.3174, 0.3388, 0.4140, 0.4849, 0.5322, 0.5577, 0.5675, 0.5811, 0.5886
61, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
62, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
64, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
65, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
67, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0774, 0.0845, 0.0904, 0.0942, 0.0852
68, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
69, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
70, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
71, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
72, 0.1294, 0.1055, 0.1088, 0.1067, 0.0940, 0.0992, 0.1065, 0.1096, 0.0977, 0.1056, 0.1325
73, 0.1970, 0.1917, 0.1950, 0.1946, 0.2069, 0.2173, 0.2177, 0.2056, 0.2568, 0.3294, 0.3847
74, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
75, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
76, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0772, 0.0845, 0.0897, 0.0888, 0.0780
77, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
78, 0.1901, 0.1913, 0.1970, 0.1712, 0.2170, 0.2399, 0.2538, 0.2490, 0.3001, 0.4082, 0.4530
79, 0.3174, 0.3089, 0.3948, 0.4643, 0.5140, 0.5589, 0.5829, 0.5876, 0.5943, 0.5814, 0.5777
80, 0.1294, 0.1299, 0.1274, 0.1203, 0.1129, 0.1256, 0.1265, 0.1249, 0.1359, 0.1554, 0.1733
81, 0.2782, 0.2845, 0.2944, 0.3285, 0.4089, 0.4738, 0.5140, 0.5450, 0.5592, 0.5653, 0.5684
82, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
83, 0.1294, 0.1314, 0.1284, 0.1201, 0.1204, 0.1273, 0.1237, 0.1205, 0.1397, 0.1580, 0.1758
84, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
85, 0.1294, 0.1044, 0.1057, 0.1043, 0.0971, 0.0904, 0.1029, 0.1064, 0.1075, 0.0929, 0.1241
86, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
87, 0.3984, 0.3804, 0.4146, 0.4220, 0.4057, 0.4761, 0.5313, 0.5597, 0.5789, 0.5922, 0.6013
88, 0.3110, 0.3131, 0.3557, 0.4180, 0.4756, 0.5314, 0.5601, 0.5740, 0.5783, 0.5803, 0.5821
89, 0.2363, 0.2394, 0.2466, 0.2551, 0.2742, 0.2896, 0.3379, 0.3854, 0.4399, 0.4887, 0.5303
90, 0.1533, 0.1507, 0.1428, 0.1367, 0.1454, 0.1513, 0.1571, 0.1779, 0.1948, 0.2071, 0.2018
91, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
92, 0.2368, 0.2485, 0.2339, 0.2636, 0.2826, 0.2942, 0.3125, 0.3756, 0.4367, 0.4930, 0.5253
93, 0.1533, 0.1507, 0.1428, 0.1364, 0.1454, 0.1513, 0.1569, 0.1779, 0.1948, 0.2071, 0.2009
94, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
95, 0.2375, 0.2250, 0.2464, 0.2670, 0.2831, 0.2910, 0.3799, 0.4314, 0.4918, 0.5259, 0.5307
96, 0.3456, 0.3519, 0.3787, 0.4013, 0.3890, 0.4302, 0.4936, 0.5383, 0.5723, 0.5874, 0.5878
97, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0805, 0.0755, 0.0845, 0.0904, 0.0942, 0.0887
98, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
99, 0.2068, 0.2189, 0.2142, 0.2300, 0.2645, 0.2842, 0.2975, 0.3987, 0.4704, 0.5104, 0.5347
100, 0.2962, 0.2962, 0.3530, 0.3896, 0.3922, 0.4478, 0.4926, 0.5265, 0.5541, 0.5641, 0.5631
101, 0.2539, 0.2790, 0.3075, 0.3446, 0.3358, 0.3426, 0.3945, 0.4503, 0.4900, 0.5078, 0.5365
102, 0.1294, 0.1044, 0.0841, 0.0875, 0.0867, 0.0825, 0.0766, 0.0845, 0.0904, 0.0932, 0.0831
103, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
104, 0.1294, 0.1044, 0.0841, 0.0678, 0.0547, 0.0444, 0.0362, 0.0297, 0.0245, 0.0203, 0.0169
105, 0.2389, 0.2346, 0.2335, 0.2637, 0.2745, 0.3007, 0.3381, 0.3961, 0.4360, 0.4765, 0.5207
106, 0.2486, 0.2745, 0.3078, 0.3398, 0.3235, 0.3526, 0.4210, 0.4680, 0.5135, 0.5460, 0.5508
